,f1,precision,recall,utility
0.0,0.0,0.0,0.0,0.889095152222
0.1,0.0,0.0,0.0,0.912061101093
0.2,0.0,0.0,0.0,0.917046780524
0.3,0.0147058823529,0.5,0.00746268656716,0.920971677098
0.4,0.0387409200969,0.727272727273,0.0199004975124,0.927389413387
0.5,0.0434782608696,0.75,0.0223880597015,0.927654609102
0.6,0.0528846153846,0.785714285714,0.0273631840796,0.928264559245
0.7,0.0622009569378,0.8125,0.0323383084577,0.928450196245
0.8,0.0622009569378,0.8125,0.0323383084577,0.928476715816
0.9,0.868715083799,0.990445859873,0.773631840796,1.0
